     Al    AL6    1   6.000   0.000  32.000     Al
    DD2    AL6    1   5.191   0.397  31.994      H
    DD3    AL6    1   5.707  -0.578  31.381      H
    DD4    AL6    1   6.255   0.614  31.398      H
    DD5    AL6    1   6.803  -0.398  32.012      H
    DD6    AL6    1   6.317   0.591  32.597      H
    DD7    AL6    1   5.711  -0.565  32.639      H
    DD2    AL6    2   2.191  16.397  31.994      H
    DD3    AL6    2   2.707  15.422  31.381      H
    DD4    AL6    2   3.255  16.614  31.398      H
    DD5    AL6    2   3.803  15.602  32.012      H
    DD6    AL6    2   3.317  16.591  32.597      H
    DD7    AL6    2   2.711  15.435  32.639      H
    DD2    AL6    3   5.191   0.397  -0.006      H
    DD3    AL6    3   5.707  -0.578  -0.619      H
    DD4    AL6    3   6.255   0.614  -0.602      H
    DD5    AL6    3   6.803  -0.398   0.012      H
    DD6    AL6    3   6.317   0.591   0.597      H
    DD7    AL6    3   5.711  -0.565   0.639      H
    DD2    AL6    4   2.191  16.397  -0.006      H
    DD3    AL6    4   2.707  15.422  -0.619      H
    DD4    AL6    4   3.255  16.614  -0.602      H
    DD5    AL6    4   3.803  15.602   0.012      H
    DD6    AL6    4   3.317  16.591   0.597      H
    DD7    AL6    4   2.711  15.435   0.639      H
    DD2    AL6    5  -0.809   0.397  31.994      H
    DD3    AL6    5  -0.293  -0.578  31.381      H
    DD4    AL6    5   0.255   0.614  31.398      H
    DD5    AL6    5   0.803  -0.398  32.012      H
    DD6    AL6    5   0.317   0.591  32.597      H
    DD7    AL6    5  -0.289  -0.565  32.639      H
    DD2    AL6    6  -0.809   0.397  15.994      H
    DD3    AL6    6  -0.293  -0.578  15.381      H
    DD4    AL6    6   0.255   0.614  15.398      H
    DD5    AL6    6   0.803  -0.398  16.012      H
    DD6    AL6    6   0.317   0.591  16.597      H
    DD7    AL6    6  -0.289  -0.565  16.639      H
    DD2    AL6    7  -0.809   0.397  -0.006      H
    DD3    AL6    7  -0.293  -0.578  -0.619      H
    DD4    AL6    7   0.255   0.614  -0.602      H
    DD5    AL6    7   0.803  -0.398   0.012      H
    DD6    AL6    7   0.317   0.591   0.597      H
    DD7    AL6    7  -0.289  -0.565   0.639      H
    DD2    AL6    8   5.191   0.397  15.994      H
    DD3    AL6    8   5.707  -0.578  15.381      H
    DD4    AL6    8   6.255   0.614  15.398      H
    DD5    AL6    8   6.803  -0.398  16.012      H
